business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,PriceRange,Reservations,Monday_mealtype,Tuesday_mealtype,Wednesday_mealtype,Thursday_mealtype,Friday_mealtype,Saturday_mealtype,Sunday_mealtype,sum,count,Sentiment_mean
1Dfx3zM-rW4n-31KeC8sJg,Taco Bell,2450 E Indian School Rd,Phoenix,AZ,85016,33.4951941,-112.0285876,3,18,1,"{'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'HasTV': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True'}","Restaurants, Breakfast & Brunch, Mexican, Tacos, Tex-Mex, Fast Food","{'Monday': '7:0-0:0', 'Tuesday': '7:0-0:0', 'Wednesday': '7:0-0:0', 'Thursday': '7:0-1:0', 'Friday': '7:0-1:0', 'Saturday': '7:0-1:0', 'Sunday': '7:0-0:0'}",1,0,11111,11111,11111,11111,11111,11111,11111,17.70632053,19,0.931911607
44YFU284Z3KDEy25QyVoUw,Nee House Chinese Restaurant,"13843 N Tatum Blvd, Ste 15",Phoenix,AZ,85032,33.61302019,-111.9770357,3.5,269,1,"{'Caters': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'False', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsTableService': 'True', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'WiFi': ""u'no'"", 'Alcohol': ""'beer_and_wine'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'""}","Chinese, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30', 'Sunday': '11:0-21:30'}",2,1,11110,11110,11110,11110,11110,11110,11110,49.8879078,50,0.997758156
Rs8Wi4OEjeOX7LVlzsXDOA,Sushi Mocorito,"3415 West Glendale Ave, Bldg 25A",Phoenix,AZ,85051,33.5371638,-112.1329258,3,9,1,"{'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2'}","Restaurants, Mexican, Sushi Bars","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",2,1,11110,11110,11110,11110,11110,11110,11110,7.972137372,9,0.885793041
dUffgo9Lh_Vk9TLuFR5ywg,Oregano's Pizza Bistro,1008 E Camelback Rd,Phoenix,AZ,85014,33.50951,-112.060238,3.5,563,1,"{'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""'casual'"", 'Caters': 'True', 'BikeParking': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'HasTV': 'True', 'OutdoorSeating': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'WiFi': ""'no'"", 'NoiseLevel': ""u'average'"", 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Restaurants, Pizza, Sandwiches, Italian","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",2,0,11110,11110,11110,11110,11110,11110,11110,49.27098767,50,0.985419753
vg4ynLZ0yJ89pT4s_CEMzQ,Five Guys,2340 E Baseline Rd,Phoenix,AZ,85042,33.37869892,-112.0310131,3.5,23,1,"{'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'Caters': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'DriveThru': 'False', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTableService': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""'no'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'HasTV': 'False', 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'""}","Fast Food, Restaurants, Burgers, Food","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",2,0,11110,11110,11110,11110,11110,11110,11110,22.70841687,23,0.987322472
3-aEgS7X2jrbxA7sA1nARw,La Flor De Calabaza,"705 N 1st St, Ste 110",Phoenix,AZ,85004,33.4559491,-112.072089,3,90,1,"{'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'RestaurantsTakeOut': 'True', 'GoodForDancing': 'True', 'RestaurantsReservations': 'True', 'NoiseLevel': ""u'average'"", 'HappyHour': 'True', 'Smoking': ""u'outdoor'"", 'HasTV': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsBitcoin': 'False', 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'WiFi': ""'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WheelchairAccessible': 'True', 'DogsAllowed': 'True', 'GoodForKids': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'CoatCheck': 'False', 'BikeParking': 'True', 'RestaurantsDelivery': 'True'}","Breakfast & Brunch, Lounges, Nightlife, Latin American, Mexican, Bars, Restaurants","{'Tuesday': '17:0-22:0', 'Wednesday': '17:0-23:0', 'Thursday': '17:0-2:0', 'Friday': '17:0-2:0', 'Saturday': '17:0-2:0', 'Sunday': '10:0-23:0'}",2,1,10000,11000,11000,11000,11000,11000,11111,48.98500485,50,0.979700097
9vub2LM7Djy8P-LPumcLXA,Tacos Chiwas,1923 E Mcdowell Rd,Phoenix,AZ,85006,33.465551,-112.0401151,4.5,453,1,"{'GoodForKids': 'True', 'RestaurantsTableService': 'False', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""'average'"", 'OutdoorSeating': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'False', 'HasTV': 'False', 'BikeParking': 'True', 'WheelchairAccessible': 'True', 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'none'"", 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'no'"", 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}""}","Restaurants, Latin American, Mexican, Tacos","{'Monday': '0:0-0:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-16:0', 'Sunday': '10:0-16:0'}",1,0,11111,11111,11111,11111,11111,10111,10111,49.96143478,50,0.999228696
giCq1MmW-_S2tvNOAHvJcQ,Tarbell's The Tavern,3209 E Camelback Rd,Phoenix,AZ,85018,33.50912294,-112.0126288,4,107,1,"{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForDancing': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Music': ""{'dj': False, 'background_music': True, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'GoodForKids': 'False', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsTableService': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'Caters': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'HappyHour': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'CoatCheck': 'False', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'Smoking': ""u'no'""}","American (Traditional), Lounges, American (New), Mexican, Wine Bars, Restaurants, Nightlife, Bars, Cocktail Bars","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '12:0-15:0'}",2,1,11110,11110,11110,11110,11110,11110,10100,48.82220797,50,0.976444159
ZRdHKIjiIa0k5-ufCLyIaQ,Denny's,2525 W Deer Valley Rd,Phoenix,AZ,85027,33.6833375,-112.1149421,2.5,48,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTableService': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsTakeOut': 'True', 'HasTV': 'False', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'True', 'WiFi': ""u'free'"", 'Alcohol': ""u'none'"", 'Caters': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': True, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'RestaurantsAttire': ""u'casual'""}","American (Traditional), Breakfast & Brunch, Diners, American (New), Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,0,11111,11111,11111,11111,11111,11111,11111,42.52108517,48,0.885855941
cs1qJvnWUg_f8g020z_3PQ,Pizzeria Bianco,4743 N 20th St,Phoenix,AZ,85016,33.5073476,-112.0376461,3.5,579,1,"{'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'HasTV': 'False', 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'full_bar'"", 'RestaurantsReservations': 'True', 'WiFi': ""'no'"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True'}","Tapas/Small Plates, Italian, Pizza, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",2,1,11110,11110,11110,11110,11110,11110,11110,49.55414577,50,0.991082915
