,similarity
the maine lobster lady,0.9088089794594071
california pizza kitchen at biltmore,0.901402291938588
gordon biersch brewery restaurant,0.9011713185320332
ten handcrafted american fare spirits,0.8999965500949783
lucky strike phoenix,0.8979116883624714
marcels bar grill,0.8896068748366599
yasu sushi bistro,0.8881026471712226
maryland deli liquor,0.8857648413592658
bjs restaurant brewhouse,0.8835066527945415
ohso brewery arcadia,0.882919641684658
taylors chowder house,0.882045392606533
huss brewing co uptown taproom,0.8818678306465928
phoenix city grille,0.8817017036086852
cactus jacks bar and grill,0.88122947626678
longhorn steakhouse,0.878219386339809
cousins maine lobster phoenix,0.8780077578384761
keegans grill taproom foothills,0.876654866337867
the cheesecake factory,0.8763518821050305
blue hound,0.8761388301255171
copper blues rock pub kitchen phoenix,0.8759198022918657
el kiosco,0.8752886692832292
romanos macaroni grill,0.8746641325134168
the keg steakhouse bar,0.8744418761670959
compass arizona grill,0.8732807238094237
westwood tap grill,0.872130645817956
wallys american pub n grill,0.8717327815117174
oreganos pizza bistro,0.8717123318139939
el snappy mexican food,0.8713864754430596
tuck shop,0.8700303251422268
pappadeaux seafood kitchen,0.8698766619662391
oconnors pub,0.8695447884786291
pronto pizza,0.8682857272842098
sergio el pollo feliz,0.8681969097374631
economic equipment locator,0.8681811834032097
the capital grille,0.8674403860724296
cactus corn,0.8673373103776456
outback steakhouse,0.8671401040081734
sandbar mexican grill,0.8670457920789914
the vig fillmore,0.8668928057064547
casey jones grill,0.8666361944732515
olive garden italian restaurant,0.8665152163499779
the attic ale house,0.8662665379746859
across the pond,0.8662058385212801
the vig arcadia,0.8658254190023549
the great american grill,0.8646904153787135
rusconis american kitchen,0.8646700078979661
blue martini lounge,0.8645275892526971
the living room wine caf lounge,0.8641888443288069
bruno malis cafe gift,0.8641820308102794
squid ink sushi phoenix,0.8617211616920124
urban wok,0.8616387961964298
federal pizza,0.8612867039795372
cheuvront restaurant wine bar,0.8609727566775565
bootleggers modern american smokehouse,0.8607788177306892
new china,0.8607097829228625
taco guild,0.8584592947324172
phil the grill,0.8584110764635386
bluewater grill,0.8583513569011425
carniceria mi casita,0.858013165909268
paradise valley pizza company,0.8578553865239578
vegan invasion delivery catering,0.8577893226330671
black angus steakhouse,0.8576794973519917
helton brewing company,0.8575713431202727
rib shop,0.8571578884997977
district american kitchen and wine bar,0.8568939687659671
culinary dropout,0.8567238739821137
timo wine bar,0.8566841630199749
growler usa phoenix,0.8556149524499291
jetbox market,0.8551707822389576
az metro cafe,0.8550354818207728
postino arcadia,0.8549297629907061
krispy krunchy chicken,0.854886762066831
half moon sports grill,0.8547660243252695
long john silvers,0.8537679640717017
pure sushi colony,0.8536728002689653
lou malnatis pizzeria,0.8529819632140082
hulas modern tiki,0.8529658725953286
giuseppes on 28th,0.8528320386266911
the collins small batch kitchen,0.8527249958829188
